strategy_name,scenario,seed,implementation_shortfall_bps,execution_cost,market_impact_cost,total_transaction_fees,completion_rate,average_execution_price,arrival_price,vwap_slippage_bps,terminal_penalty,turnover,reward_total,action_0_pct,action_1_pct,action_2_pct,action_3_pct
DQN,stress,123,27.89359920231713,43735.32621946916,5360.462726414563,49.9499600908116,0.9989992018162319,159.1191763123349,158.68355812134402,8.884809984437947,195.6848654498504,15896020.195297431,,,,,
Regime-Aware DQN,stress,123,28.06848271848642,44128.785544958344,5269.50471366718,49.92822584236702,0.9985645168473406,159.1236839100687,158.68355812134402,9.130100109006609,140.45823772190752,15889428.306768954,,,,,
DQN (shuffled regime),stress,123,28.300325679259057,44375.353470476,5281.736974699892,49.97697112008417,0.9995394224016835,159.12639664479155,158.68355812134402,9.337544414667455,59.21919046979747,15905244.641541783,,,,,
PPO,stress,123,26.076996481798187,41094.74425415325,5752.645613425431,49.983760712304665,0.9996752142460933,159.09363572052808,158.68355812134402,7.251842340494298,48.73365709736847,15904197.646357715,,,,,
Regime-Aware PPO,stress,123,26.076996481798187,41094.74425415325,5752.645613425431,49.983760712304665,0.9996752142460933,159.09363572052808,158.68355812134402,7.251842340494298,48.73365709736847,15904197.646357715,,,,,
PPO (shuffled regime),stress,123,26.076996481798187,41094.74425415325,5752.645613425431,49.983760712304665,0.9996752142460933,159.09363572052808,158.68355812134402,7.251842340494298,48.73365709736847,15904197.646357715,,,,,
TWAP,stress,31415,50.66487432234512,69948.75937012404,3250.9126971981514,50.0,1.0,141.82589675429824,141.126909160597,12.30769637144652,0.0,14182589.675429823,,,,,
VWAP,stress,31415,50.33927877515812,69452.01374896661,3302.062778064094,50.0,1.0,141.82092929808667,141.126909160597,11.986620925187427,0.0,14182092.929808667,,,,,
POV,stress,31415,26.767131443197986,37308.071260133765,5398.404958434539,50.0,1.0,141.4994898731983,141.126909160597,11.551940149536618,0.0,14149948.98731983,,,,,
DQN,stress,31415,25.698400710486673,35769.97683181613,6068.526243633334,49.48027877722463,0.9896055755444925,141.45441985835959,141.126909160597,-14.34023334060858,4474.913350776291,14008956.027498515,,,,,
Regime-Aware DQN,stress,31415,28.497030230002327,39916.74004539647,5924.160181947092,49.97640188681128,0.9995280377362256,141.52525672715188,141.126909160597,-9.38227202276003,63.99197162775079,14145842.40643825,,,,,
DQN (shuffled regime),stress,31415,24.292130926898924,33966.44725164138,6009.181286716566,49.9661204473616,0.9993224089472318,141.464389407188,141.126909160597,-13.60538550350077,281.3514880272342,14137500.26332615,,,,,
PPO,stress,31415,38.59796225838229,53811.12967380898,3773.8622574800584,47.8637620602141,0.9572752412042824,141.61386778412984,141.126909160597,-2.9554537088433,7142.712470746015,13556636.924035115,,,,,
Regime-Aware PPO,stress,31415,42.02199568542027,58346.70217480529,5562.251952148494,49.37973652059195,0.9875947304118391,141.69640646071144,141.126909160597,2.880072161612614,3328.6223651710634,13988534.294145314,,,,,
PPO (shuffled regime),stress,31415,33.75955060163967,47066.116364806534,4936.335891232817,49.996221636845945,0.999924432736919,141.59692298836433,141.126909160597,-4.215309894446891,24.712582372676625,14158620.05457634,,,,,
TWAP,stress,7,11.353298645752352,15061.341444461645,3305.968721486009,50.0,1.0,137.85613543064954,137.70602201620494,12.805789953106643,0.0,13785613.54306496,,,,,
VWAP,stress,7,11.231591794520003,14882.793605568942,3337.801074607008,50.0,1.0,137.85434995226063,137.70602201620494,12.686670333493266,0.0,13785434.995226065,,,,,
POV,stress,7,9.884996119941258,13556.891479547248,5523.017431123017,50.0,1.0,137.84109093100042,137.70602201620494,11.942329564982249,0.0,13784109.093100043,,,,,
DQN,stress,7,8.36942544973823,11449.033264433861,6192.065314875708,49.995710578011696,0.999914211560234,137.81994487217338,137.70602201620494,10.245750930628615,10.741306229863106,13780811.5933138,,,,,
Regime-Aware DQN,stress,7,8.93871551382906,12279.395575107626,6004.72609669899,49.989905478317446,0.9997981095663487,137.82797206843176,137.70602201620494,10.798196443336229,34.72174758340664,13780004.648425391,,,,,
DQN (shuffled regime),stress,7,8.296205008104158,11294.318135614443,5961.056595724973,49.22607559204437,0.9845215118408872,137.80184455764044,137.70602201620494,8.931510793297344,4130.916104235011,13567108.242870662,,,,,
PPO,stress,7,24.106469106314243,32818.95027354089,5731.691196672367,40.0467380228718,0.8009347604574362,115.23719907724927,137.70602201620494,10.094712774271576,23421.690365334307,11082775.902749153,,,,,
Regime-Aware PPO,stress,7,11.42576920823559,15639.917998813178,5867.3444416789625,49.99227070238858,0.9998454140477714,137.86176067086186,137.70602201620494,13.169100308038715,28.307744193278165,13784036.629120473,,,,,
PPO (shuffled regime),stress,7,10.743179144277454,14503.605268428613,5780.0286608655015,49.840093218341174,0.9968018643668235,137.8478784864982,137.70602201620494,12.21334115123184,479.87269010067826,13740353.713375425,,,,,
TWAP,stress,99,0.9736032890524687,1083.3191147122418,3351.9503866129785,50.0,1.0,169.89652576846004,169.88619257731293,11.061435551078985,0.0,16989652.576846004,,,,,
