rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,Regime-Aware DQN,VWAP,TURBULENT,window,600,0.22842520555770562,-1.029024025460879,1.4971185234882884,0.5906410294259502,0.5116666666666667,,,
RQ1,Regime-Aware DQN,VWAP,TURBULENT,seed,5,0.2284252055577058,,,,0.2,5.0,1.8152301164910574,1.0
RQ1,Regime-Aware DQN,POV,ALL,window,900,2.3782818719859957,0.22682073113279455,4.589974725866407,0.4091967169356271,0.5011111111111111,,,
RQ1,Regime-Aware DQN,POV,ALL,seed,5,2.3782818719859953,,,,0.2,5.0,4.580041582912918,1.0
RQ1,Regime-Aware DQN,POV,high_volatility,window,150,2.2622426063991363,-3.4262915103681726,7.704747155818027,0.7877447197761284,0.4666666666666667,,,
RQ1,Regime-Aware DQN,POV,high_volatility,seed,5,2.2622426063991368,,,,0.4,5.0,6.787882066651999,2.0
RQ1,Regime-Aware DQN,POV,liquidity_shock,window,150,1.6128623479054078,-0.9304623792611824,4.4936689456326935,0.6832134109034642,0.52,,,
RQ1,Regime-Aware DQN,POV,liquidity_shock,seed,5,1.612862347905408,,,,0.6,5.0,3.3367409248893454,3.0
RQ1,Regime-Aware DQN,POV,low_liquidity,window,150,0.9285135310237332,-1.353280447161576,3.2261407352982254,0.9797923568751693,0.5,,,
RQ1,Regime-Aware DQN,POV,low_liquidity,seed,5,0.9285135310237331,,,,0.4,5.0,1.7818593737242803,2.0
RQ1,Regime-Aware DQN,POV,normal,window,150,0.7077970190270374,-1.4794608925602175,3.657583973183069,0.24662829041361023,0.54,,,
RQ1,Regime-Aware DQN,POV,normal,seed,5,0.7077970190270373,,,,0.6,5.0,2.964113305914298,3.0
RQ1,Regime-Aware DQN,POV,regime_transition,window,150,6.17557316061081,-3.4613250952356784,15.032573299129684,0.19319956027830765,0.4866666666666667,,,
RQ1,Regime-Aware DQN,POV,regime_transition,seed,5,6.17557316061081,,,,0.2,5.0,9.241316426286158,1.0
RQ1,Regime-Aware DQN,POV,stress,window,150,2.582702566949848,-4.05624335227897,8.53591844990781,0.35351110499037186,0.49333333333333335,,,
RQ1,Regime-Aware DQN,POV,stress,seed,5,2.582702566949848,,,,0.2,5.0,6.552573602269979,1.0
RQ1,Regime-Aware DQN,POV,TURBULENT,window,600,3.1583451704663004,-0.010922757272640067,6.202384595925211,0.1858376801809435,0.49166666666666664,,,
RQ1,Regime-Aware DQN,POV,TURBULENT,seed,5,3.1583451704663004,,,,0.2,5.0,5.914767105451808,1.0
RQ1,Regime-Aware PPO,TWAP,ALL,window,900,-0.6863811162905378,-1.467225449698501,0.11473624054932982,1.3191536293049216e-05,0.5866666666666667,,,
RQ1,Regime-Aware PPO,TWAP,ALL,seed,5,-0.6863811162905378,,,,0.8,5.0,0.9618159539851083,4.0
RQ1,Regime-Aware PPO,TWAP,high_volatility,window,150,-1.3960197385444824,-3.8465927231712125,0.8712129260005811,0.255930196896502,0.5533333333333333,,,
RQ1,Regime-Aware PPO,TWAP,high_volatility,seed,5,-1.3960197385444821,,,,0.4,5.0,4.653201170567011,2.0
RQ1,Regime-Aware PPO,TWAP,liquidity_shock,window,150,-1.527435234840547,-2.9353745432276415,-0.1967826529099691,0.0482974282086587,0.58,,,
RQ1,Regime-Aware PPO,TWAP,liquidity_shock,seed,5,-1.527435234840547,,,,0.8,5.0,1.4401375190897188,4.0
RQ1,Regime-Aware PPO,TWAP,low_liquidity,window,150,-2.1735630423086603,-3.096300695307626,-1.2388802039343831,1.7296834702129785e-07,0.6933333333333334,,,
RQ1,Regime-Aware PPO,TWAP,low_liquidity,seed,5,-2.17356304230866,,,,1.0,5.0,1.0536032838311005,5.0
RQ1,Regime-Aware PPO,TWAP,normal,window,150,-1.925939372125999,-2.8704621016636978,-0.9791991954923265,4.0100939990903165e-06,0.6866666666666666,,,
RQ1,Regime-Aware PPO,TWAP,normal,seed,5,-1.9259393721259994,,,,1.0,5.0,1.237757627973201,5.0
RQ1,Regime-Aware PPO,TWAP,regime_transition,window,150,2.664140432009362,-0.3049284617281145,5.6885546477941595,0.1618920051015782,0.4866666666666667,,,
RQ1,Regime-Aware PPO,TWAP,regime_transition,seed,5,2.664140432009362,,,,0.4,5.0,6.629212268133258,2.0
RQ1,Regime-Aware PPO,TWAP,stress,window,150,0.24053025806710007,-1.4898469743607325,1.9994353089450656,0.9917665223101295,0.52,,,
RQ1,Regime-Aware PPO,TWAP,stress,seed,5,0.24053025806710013,,,,0.4,5.0,1.720592634805379,2.0
RQ1,Regime-Aware PPO,TWAP,TURBULENT,window,600,-0.004696070827141625,-1.1017336730697023,1.1094668391516351,0.4221242471350215,0.535,,,
