rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,Regime-Aware PPO,TWAP,regime_transition,window,80,1.3568863715510293,-4.536793524471622,7.2623396005755,0.9273897269934689,0.4875,,,
RQ1,Regime-Aware PPO,TWAP,regime_transition,seed,4,1.3568863715510295,,,,0.25,4.0,2.2989513872927025,1.0
RQ1,Regime-Aware PPO,TWAP,stress,window,80,-0.6606457215274372,-10.43608110383845,12.449229114286005,0.019502091936780735,0.6125,,,
RQ1,Regime-Aware PPO,TWAP,stress,seed,4,-0.6606457215274384,,,,0.75,4.0,11.758581187765724,3.0
RQ1,Regime-Aware PPO,TWAP,TURBULENT,window,320,1.145670108654297,-2.291533158566708,5.2493383545225685,0.07029439478890794,0.54375,,,
RQ1,Regime-Aware PPO,TWAP,TURBULENT,seed,4,1.1456701086542966,,,,0.5,4.0,4.936281776899343,2.0
RQ1,Regime-Aware PPO,VWAP,ALL,window,480,-0.02126416317063439,-2.503229288633561,2.9321165166605563,0.0007531047431526506,0.5895833333333333,,,
RQ1,Regime-Aware PPO,VWAP,ALL,seed,4,-0.02126416317063451,,,,0.5,4.0,2.3579455727959036,2.0
RQ1,Regime-Aware PPO,VWAP,high_volatility,window,80,1.5025315089580409,-2.937571949451044,6.253749250206114,0.74794422844894,0.5,,,
RQ1,Regime-Aware PPO,VWAP,high_volatility,seed,4,1.5025315089580404,,,,0.5,4.0,4.406864771686453,2.0
RQ1,Regime-Aware PPO,VWAP,liquidity_shock,window,80,1.9906991147481665,-2.1905581138185517,8.982125854313333,0.3002030599316109,0.575,,,
RQ1,Regime-Aware PPO,VWAP,liquidity_shock,seed,4,1.9906991147481667,,,,0.5,4.0,6.027651725115988,2.0
RQ1,Regime-Aware PPO,VWAP,low_liquidity,window,80,-3.4408320685272775,-6.023525284394365,-1.2979828381075968,0.0001867421206290958,0.6875,,,
RQ1,Regime-Aware PPO,VWAP,low_liquidity,seed,4,-3.4408320685272775,,,,1.0,4.0,2.5363291908007883,4.0
RQ1,Regime-Aware PPO,VWAP,normal,window,80,-1.2641372195522036,-5.278316598353477,3.1994615821316854,0.010870684310322898,0.6625,,,
RQ1,Regime-Aware PPO,VWAP,normal,seed,4,-1.2641372195522032,,,,0.75,4.0,4.250626210583379,3.0
RQ1,Regime-Aware PPO,VWAP,regime_transition,window,80,1.6548415491297626,-4.353098367430417,7.579975349875486,0.638329194080268,0.475,,,
RQ1,Regime-Aware PPO,VWAP,regime_transition,seed,4,1.6548415491297621,,,,0.0,4.0,1.6824860436451792,0.0
RQ1,Regime-Aware PPO,VWAP,stress,window,80,-0.5706878637802955,-10.16642920832852,12.584188162070244,0.015027418467650962,0.6375,,,
RQ1,Regime-Aware PPO,VWAP,stress,seed,4,-0.5706878637802951,,,,0.75,4.0,11.024906700880061,3.0
RQ1,Regime-Aware PPO,VWAP,TURBULENT,window,320,1.1443460772639185,-2.313859245722033,5.141773080407498,0.17166772281103015,0.546875,,,
RQ1,Regime-Aware PPO,VWAP,TURBULENT,seed,4,1.1443460772639185,,,,0.5,4.0,4.017772303037904,2.0
RQ1,Regime-Aware PPO,POV,ALL,window,480,-1.0184008005058471,-6.271641099776949,4.244488061164259,0.0987999918408072,0.5583333333333333,,,
RQ1,Regime-Aware PPO,POV,ALL,seed,4,-1.0184008005058471,,,,0.5,4.0,11.165846462891421,2.0
RQ1,Regime-Aware PPO,POV,high_volatility,window,80,-1.344459025617951,-14.512904559517247,11.808412812422988,0.6941012047381729,0.55,,,
RQ1,Regime-Aware PPO,POV,high_volatility,seed,4,-1.3444590256179523,,,,0.75,4.0,12.80855201667738,3.0
RQ1,Regime-Aware PPO,POV,liquidity_shock,window,80,2.847765937613079,-3.853385300654276,11.01559837203388,0.8253811545163605,0.5375,,,
RQ1,Regime-Aware PPO,POV,liquidity_shock,seed,4,2.8477659376130795,,,,0.25,4.0,8.233148034004333,1.0
RQ1,Regime-Aware PPO,POV,low_liquidity,window,80,-2.3587622971980324,-7.08000694557949,2.545886911341884,0.2720517882512814,0.5375,,,
RQ1,Regime-Aware PPO,POV,low_liquidity,seed,4,-2.3587622971980324,,,,1.0,4.0,1.77006515745158,4.0
RQ1,Regime-Aware PPO,POV,normal,window,80,-0.15687030502066718,-4.4436774070490825,4.336293656265527,0.2054343939251848,0.6125,,,
RQ1,Regime-Aware PPO,POV,normal,seed,4,-0.15687030502066657,,,,0.75,4.0,3.79479738858927,3.0
RQ1,Regime-Aware PPO,POV,regime_transition,window,80,-1.6946752453596452,-15.11265574881691,11.372480447978262,0.5779584116413209,0.5625,,,
RQ1,Regime-Aware PPO,POV,regime_transition,seed,4,-1.6946752453596448,,,,0.75,4.0,19.350256160364395,3.0
RQ1,Regime-Aware PPO,POV,stress,window,80,-3.4034038674518685,-23.928177483372156,18.376655136178712,0.417611194266471,0.55,,,
RQ1,Regime-Aware PPO,POV,stress,seed,4,-3.403403867451866,,,,0.5,4.0,24.739178080586512,2.0
RQ1,Regime-Aware PPO,POV,TURBULENT,window,320,-0.8986930502040963,-8.141765706644783,6.697355544217573,0.2999131975838528,0.55,,,
